fabian	remolina	carnes	durham_lifspan	durham_fecundityw1	durham_fecundityw3	durham_fecundityw5	durham_fecundityw7	durham_fecundityLifetime	huang_DGRP	huang_AIP	ours_HS_C_1kb	ours_HS_1kb	ours_C_1kb	hoedjes_lifespan	hoedjes_diet	hoedjes_diet_lifespan	genAge_dmel
FBgn0029666	FBgn0031115	FBgn0015609	NA	NA	NA	FBgn0033222	FBgn0261642	NA	FBgn0039616	FBgn0027660	FBgn0004463	FBgn0019686	FBgn0050438	FBgn0039592	FBgn0033570	FBgn0032901	FBgn0037873
FBgn0029663	FBgn0038683	FBgn0039722	NA	NA	NA	FBgn0033221	FBgn0034321	NA	FBgn0039297	FBgn0041161	FBgn0004554	FBgn0020236	FBgn0050460	FBgn0039594	FBgn0033572	FBgn0032915	FBcl0444501
FBgn0038865	FBgn0030346	FBgn0023095	NA	NA	NA	FBgn0261588	FBgn0261700	NA	FBgn0039656	FBgn0011211	FBgn0004580	FBgn0020251	FBgn0050463	FBgn0039597	FBgn0033574	FBgn0033010	FBgn0024291
FBgn0039235	FBgn0035234	FBgn0261458	NA	NA	NA	FBgn0033301	FBgn0262838	NA	FBgn0035285	FBgn0036449	FBgn0004644	FBgn0020371	FBgn0051251	FBgn0039617	FBgn0033579	FBgn0033246	FBcl0441159
FBgn0030073	FBgn0035236	FBgn0000256	NA	NA	NA	FBgn0040773	FBgn0034329	NA	FBgn0030099	FBgn0014135	FBgn0004652	FBgn0022213	FBgn0051360	FBgn0039647	FBgn0033603	FBgn0033250	FBgn0038788
FBgn0030078	FBgn0035464	FBgn0024249	NA	NA	NA	FBgn0033476	FBgn0034328	NA	FBgn0030098	FBgn0040487	FBgn0004842	FBgn0022343	FBgn0051614	FBgn0040571	FBgn0033610	FBgn0034277	FBgn0037802
FBgn0031139	FBgn0035430	FBgn0050106	NA	NA	NA	FBgn0033579	FBgn0034331	NA	FBgn0038220	FBgn0023097	FBgn0004870	FBgn0022702	FBgn0052057	FBgn0043534	FBgn0033624	FBgn0034713	FBcl0423458
FBgn0030056	FBgn0035443	FBgn0041342	NA	NA	NA	FBgn0003396	FBgn0025583	NA	FBgn0032295	FBgn0264001	FBgn0004901	FBgn0023095	FBgn0052529	FBgn0043535	FBgn0033636	FBgn0034718	FBgn0003462
FBgn0030058	FBgn0035257	FBgn0015618	NA	NA	NA	FBgn0033749	FBgn0040736	NA	FBgn0038590	FBgn0036712	FBgn0005386	FBgn0023172	FBgn0053100	FBgn0050274	FBgn0034408	FBgn0034795	FBcl0427875
FBgn0039818	FBgn0035444	FBgn0000277	NA	NA	NA	FBgn0033748	FBgn0034389	NA	FBgn0040805	FBgn0029848	FBgn0005564	FBgn0024236	FBgn0053554	FBgn0051051	FBgn0034436	FBgn0035896	FBgn0010213
