lfc_ctrl	p_ctrl	FDR_ctrl	lfc_hs	p_hs	FDR_hs	diffexp_in	lfc_1
FBgn0023130	-0.708432425423191	0.00170931782032751	0.00510457018026669	-0.241774671840485	0.166731699340402	0.283867805069489	ctrl	no
FBgn0023530	-0.475752103051478	0.00306466935146119	0.0084965369497584	0.117905604826587	0.360125371388195	0.506868914081514	ctrl	no
FBgn0025390	-0.125043261921318	0.472452575172156	0.608546124380939	0.31864733941744	0.0536551489698634	0.122136798958511	none	no
FBgn0003517	-0.12411083508069	0.162195834964763	0.264826856939474	0.157874645474508	0.12779636079857	0.232715595281346	none	no
FBgn0025382	0.00929654130126433	0.952855649805558	0.968562061615539	0.136860504970477	0.32813921812325	0.47351131224422	none	no
FBgn0027791	0.119331804677782	0.248353901832818	0.375871164518193	0.407683943791019	2.27467642868964e-05	0.000176712407253718	hs	no
FBgn0027793	-0.0542279656358353	0.788482082433158	0.855835514096849	-0.329629791945882	0.0904557664262587	0.180333276811436	none	no
FBgn0026873	-0.624622687040924	6.74261428052021e-06	3.56395326256068e-05	-0.245804077839901	0.0425412036420861	0.103716157639797	none	no
FBgn0023513	-0.47613894777168	0.0109990146707169	0.0260251994647463	0.158806981249496	0.307206864743379	0.45148282330335	ctrl	no
FBgn0014411	-0.0990856077669416	0.281262861932193	0.414582597972976	0.0123216233803339	0.880263959218339	0.929484484363759	none	no
FBgn0023514	-0.340347771257582	0.0144314400034458	0.033050601686448	0.0305615020704942	0.801420609948632	0.876870488263105	ctrl	no
FBgn0029594	-0.572237891129693	4.14268366474828e-11	6.78939822833747e-10	-0.384583741912757	9.80943766223608e-07	9.85170533174305e-06	both	no
FBgn0023519	-0.385259533851807	2.52697895576546e-07	1.85487392751715e-06	-0.170234437589642	0.0107861014551827	0.0370906780123977	both	no
FBgn0023509	-0.261263634715836	0.152679267442041	0.251964651365267	0.0539622968107743	0.723241697969092	0.822907643487844	none	no
FBgn0023508	-0.00243256228951301	0.976796256005875	0.985372563244374	0.068151686345832	0.37281196919571	0.519433577198261	none	no
FBgn0023522	-0.799964657144788	2.45290453830377e-05	0.000114123840731397	0.0653057330113379	0.66390285774668	0.777855269676364	ctrl	no
FBgn0023521	-0.359324466928795	0.000520410824469168	0.00176859463617957	0.0206273960170995	0.840331705920728	0.902688920121553	ctrl	no
FBgn0025630	-0.246045064198043	0.0796171576572109	0.145220430987127	0.14658709968735	0.230663199448678	0.362570394870726	none	no
FBgn0025629	-0.383657551331595	0.0181481473314135	0.0404259241066078	-0.0730324835565822	0.599408617465885	0.72638448536029	ctrl	no
FBgn0025628	1.2571938379125	3.43906190497464e-28	2.8874892840614e-26	0.916286900829625	3.69346177563253e-18	1.34380450936764e-16	both	yes
FBgn0029596	0.250770753740873	0.288423518698043	0.422682962753644	-0.053154155297446	0.76844231204736	0.854243626667375	none	no
FBgn0025626	-0.225677359111167	0.0739312010505947	0.136333681275087	0.170751520605174	0.134332975976049	0.241675363899551	none	no
FBgn0025625	1.14740992908888	1.21108352973778e-06	7.68098589604175e-06	1.0367879171147	1.91787937310753e-06	1.8226459004178e-05	both	yes
FBgn0000667	-1.54831855056219	1.07633238298805e-27	8.83320899271774e-26	-1.64860239649106	1.17751349382579e-35	1.38199567581812e-33	both	yes
FBgn0023545	-0.34634224185509	0.00549496598983711	0.014162350361056	0.0260006471242743	0.807786928466066	0.880729283980975	ctrl	no
