shared_DEG	gxe_DEG	allgenesdeg	shared_entrez	gxe_entrez	all_entrez
FBgn0037917	NA	FBgn0029685	41390	NA	31347
FBgn0262081	NA	FBgn0019661	41398	NA	NA
FBgn0259227	NA	FBgn0029694	41401	NA	31356
FBgn0038072	NA	FBgn0000221	41559	NA	31358
FBgn0038098	NA	FBgn0026084	41589	NA	31359
FBgn0004666	NA	FBgn0026085	41612	NA	31361
FBgn0040554	NA	FBgn0026083	NA	NA	31363
FBgn0011217	NA	FBgn0066114	41785	NA	251900
FBgn0263929	NA	FBgn0029697	41788	NA	31366
FBgn0045035	NA	FBgn0029701	41839	NA	31370
FBgn0038319	NA	FBgn0029702	41859	NA	31371
FBgn0019940	NA	FBgn0040907	NA	NA	50381
FBgn0003507	NA	FBgn0040906	41944	NA	50380
FBgn0003944	NA	FBgn0029703	42034	NA	31372
FBgn0038475	NA	FBgn0040905	42062	NA	50379
FBgn0038482	NA	FBgn0040904	42070	NA	50378
FBgn0038492	NA	FBgn0029700	42080	NA	31369
FBgn0262794	NA	FBgn0052774	12798449	NA	31368
FBgn0038638	NA	FBgn0041252	42242	NA	31367
FBgn0038651	NA	FBgn0029696	42256	NA	31365
FBgn0038652	NA	FBgn0000635	42257	NA	31364
FBgn0038683	NA	FBgn0026080	42298	NA	31362
FBgn0260003	NA	FBgn0026079	42327	NA	45064
FBgn0038714	NA	FBgn0004832	42333	NA	31357
FBgn0038774	NA	FBgn0029693	42400	NA	31355
FBgn0013995	NA	FBgn0022768	42481	NA	31404
FBgn0264357	NA	FBgn0052773	42515	NA	NA
FBgn0264490	NA	FBgn0011760	44936	NA	31405
FBgn0038930	NA	FBgn0028325	42598	NA	31406
FBgn0053110	NA	FBgn0029722	42659	NA	31407
FBgn0039026	NA	FBgn0029729	42703	NA	31415
FBgn0262975	NA	FBgn0029733	42743	NA	31419
FBgn0003118	NA	FBgn0052772	42757	NA	31420
FBgn0039075	NA	FBgn0029737	42764	NA	31423
FBgn0015795	NA	FBgn0004368	42841	NA	31425
FBgn0004885	NA	FBgn0029728	42944	NA	31414
FBgn0039260	NA	FBgn0029726	42994	NA	31412
FBgn0266719	NA	FBgn0029725	43002	NA	31411
FBgn0004509	NA	FBgn0029724	47220	NA	31409
FBgn0263289	NA	FBgn0003449	44448	NA	31442
FBgn0039441	NA	FBgn0011761	43207	NA	31444
FBgn0039450	NA	FBgn0029753	43217	NA	31445
FBgn0261861	NA	FBgn0029755	NA	NA	31447
