gene	both	hs	ctrl	sig	sigexon	signotexon	snptype
FBgn0085327	0	0	0	0	0	0	notsig
FBgn0039734	0	0	0	0	0	0	notsig
FBgn0039735	0	0	0	0	0	0	notsig
FBgn0016685	1	0	0	1	0	1	noexon
FBgn0039736	1	0	0	1	0	1	noexon
FBgn0039737	1	0	0	1	1	0	exon
FBgn0039738	1	0	0	1	1	0	exon
FBgn0039739	0	0	0	0	0	0	notsig
FBgn0026597	0	0	0	0	0	0	notsig
FBgn0267780	0	0	0	0	0	0	notsig
FBgn0264837	0	0	0	0	0	0	notsig
FBgn0039740	0	0	0	0	0	0	notsig
FBgn0001281	0	0	0	0	0	0	notsig
FBgn0001280	0	0	0	0	0	0	notsig
FBgn0003510	0	0	0	0	0	0	notsig
FBgn0003511	0	0	0	0	0	0	notsig
FBgn0003512	0	0	0	0	0	0	notsig
FBgn0002626	0	0	0	0	0	0	notsig
FBgn0039741	0	0	0	0	0	0	notsig
FBgn0039742	0	0	0	0	0	0	notsig
FBgn0264838	0	0	0	0	0	0	notsig
FBgn0039743	0	0	0	0	0	0	notsig
FBgn0003479	0	0	0	0	0	0	notsig
FBgn0039744	0	0	0	0	0	0	notsig
FBgn0085346	1	0	0	1	0	1	noexon
FBgn0260468	1	0	0	1	1	0	exon
FBgn0266411	1	0	0	1	0	1	noexon
FBgn0267781	0	0	0	0	0	0	notsig
FBgn0266442	0	0	0	0	0	0	notsig
FBgn0266443	0	0	0	0	0	0	notsig
FBgn0051025	0	0	0	0	0	0	notsig
FBgn0051029	0	0	0	0	0	0	notsig
FBgn0086355	0	0	0	0	0	0	notsig
FBgn0039747	0	0	0	0	0	0	notsig
FBgn0267751	0	0	0	0	0	0	notsig
FBgn0039748	0	1	0	1	1	0	exon
FBgn0039749	1	0	0	1	0	1	noexon
FBgn0051030	0	0	0	0	0	0	notsig
FBgn0051028	1	1	0	1	1	0	exon
FBgn0002773	0	0	0	0	0	0	notsig
FBgn0039751	0	0	0	0	0	0	notsig
FBgn0039752	0	1	0	1	1	0	exon
FBgn0260860	0	0	0	0	0	0	notsig
FBgn0265202	0	0	0	0	0	0	notsig
FBgn0039754	0	0	0	0	0	0	notsig
FBgn0039755	0	0	0	0	0	0	notsig
FBgn0039756	0	0	0	0	0	0	notsig
FBgn0039757	0	0	0	0	0	0	notsig
FBgn0086664	0	0	0	0	0	0	notsig
FBgn0083049	0	0	0	0	0	0	notsig
FBgn0086665	0	0	0	0	0	0	notsig
FBgn0082983	0	0	0	0	0	0	notsig
FBgn0000277	0	0	0	0	0	0	notsig
FBgn0000278	0	0	0	0	0	0	notsig
FBgn0000279	1	0	0	1	0	1	noexon
FBgn0263402	0	1	0	1	1	1	both
FBgn0039758	0	0	0	0	0	0	notsig
FBgn0039759	0	0	0	0	0	0	notsig
FBgn0051023	0	0	0	0	0	0	notsig
FBgn0085328	0	0	0	0	0	0	notsig
FBgn0039760	0	1	0	1	1	0	exon
FBgn0039761	0	0	0	0	0	0	notsig
FBgn0267782	0	0	0	0	0	1	noexon
FBgn0010113	0	1	1	1	0	1	noexon
FBgn0085329	0	0	0	0	0	0	notsig
FBgn0267783	0	0	0	0	0	0	notsig
FBgn0015222	0	0	0	0	0	0	notsig
FBgn0015221	0	0	0	0	0	0	notsig
FBgn0267130	1	0	0	1	1	1	both
FBgn0027544	0	0	0	0	0	0	notsig
FBgn0261704	0	0	0	0	0	0	notsig
FBgn0039764	0	0	0	0	0	0	notsig
FBgn0039766	0	0	0	0	0	0	notsig
FBgn0039767	0	0	0	0	0	0	notsig
FBgn0039768	0	0	0	0	0	0	notsig
FBgn0039769	0	0	0	0	0	0	notsig
FBgn0039770	0	0	0	0	0	0	notsig
FBgn0039771	0	0	0	0	0	0	notsig
FBgn0028646	0	1	0	1	1	1	both
FBgn0039773	0	0	0	0	0	0	notsig
FBgn0039774	0	0	0	0	0	0	notsig
FBgn0039776	1	0	0	1	0	1	noexon
FBgn0260440	0	0	0	0	0	0	notsig
FBgn0039777	0	0	0	0	0	0	notsig
FBgn0039778	0	0	0	0	0	0	notsig
FBgn0039779	0	0	0	0	0	0	notsig
FBgn0026190	0	0	0	0	0	0	notsig
FBgn0039780	0	0	0	0	0	0	notsig
FBgn0051371	0	0	0	0	0	0	notsig
FBgn0051014	0	0	0	0	0	0	notsig
FBgn0039782	0	0	0	0	0	0	notsig
FBgn0054041	0	0	0	0	0	0	notsig
FBgn0039783	0	0	0	0	0	0	notsig
FBgn0051524	0	0	0	0	0	0	notsig
FBgn0039784	0	0	0	0	0	0	notsig
FBgn0027654	0	0	0	0	0	0	notsig
FBgn0267112	1	0	0	1	0	1	noexon
FBgn0267113	1	0	0	1	1	0	exon
FBgn0082582	0	1	0	1	1	1	both
FBgn0083991	0	1	0	1	0	1	noexon
FBgn0039787	1	0	0	1	1	0	exon
FBgn0039788	0	0	0	0	0	0	notsig
FBgn0039789	1	0	0	1	1	0	exon
FBgn0039790	1	0	0	1	0	1	noexon
FBgn0051019	0	0	0	0	0	0	notsig
FBgn0051021	0	0	0	0	0	0	notsig
FBgn0051017	0	0	0	0	0	0	notsig
FBgn0051016	0	0	0	0	0	0	notsig
FBgn0267131	0	0	0	0	0	0	notsig
FBgn0266259	0	0	0	0	0	0	notsig
FBgn0264985	0	0	0	0	0	0	notsig
FBgn0039792	1	0	0	1	0	1	noexon
FBgn0267956	0	1	0	1	1	0	exon
FBgn0051013	0	0	0	0	0	0	notsig
FBgn0051015	0	0	0	0	0	0	notsig
FBgn0085461	0	0	0	0	0	0	notsig
FBgn0085462	0	0	0	0	0	0	notsig
FBgn0266701	0	0	0	0	0	1	noexon
FBgn0039795	1	0	0	1	1	0	exon
FBgn0039796	0	1	0	1	1	0	exon
FBgn0000274	0	0	0	0	0	0	notsig
